model_id,parameter_sharing,parameter_count,validation_macro_f1,test_macro_f1,train_samples,validation_samples,test_samples,epochs,image_height,image_width,batch_size
cnn_c3_f64-128-256_k3-3-3_max,shared,2468870,0.8103508031086354,0.8097037300279805,11227,2807,3000,5,64,64,32
cnn_c3_f64-128-256_k3-3-3_max,shared,2468870,0.8103508031086354,0.8097037300279805,11227,2807,3000,5,64,64,32
cnn_c3_f32-64-128_k3-3-3_max,shared,1142726,0.8170410358169358,0.8023779415431043,11227,2807,3000,5,64,64,32
cnn_c3_f32-64-128_k5-3-3_max,shared,1144262,0.7965451790538888,0.7998498903287933,11227,2807,3000,5,64,64,32
cnn_c3_f64-128-256_k5-3-3_max,shared,2471942,0.8027789667048152,0.7948555760726578,11227,2807,3000,5,64,64,32
cnn_c3_f32-64-128_k3-3-3_average,shared,1142726,0.7841727968066272,0.7859754224393639,11227,2807,3000,5,64,64,32
cnn_c2_f32-64_k3-3_max,shared,2117446,0.7912820391619949,0.7819113765282477,11227,2807,3000,5,64,64,32
cnn_c3_f64-128-256_k5-3-3_average,shared,2471942,0.7961553403591735,0.7808102568273855,11227,2807,3000,5,64,64,32
cnn_c3_f64-128-256_k3-3-3_average,shared,2468870,0.800922083236005,0.7780357394783576,11227,2807,3000,5,64,64,32
cnn_c2_f64-128_k3-3_max,shared,4270854,0.7852291339428842,0.7772456034117567,11227,2807,3000,5,64,64,32
cnn_c2_f64-128_k5-3_max,shared,4273926,0.7791418171869884,0.7724838667391242,11227,2807,3000,5,64,64,32
cnn_c2_f64-128_k3-3_average,shared,4270854,0.7758359715065755,0.7699928140387152,11227,2807,3000,5,64,64,32
cnn_c2_f32-64_k5-3_max,shared,2118982,0.7733390620973277,0.7652231593425998,11227,2807,3000,5,64,64,32
cnn_c2_f32-64_k3-3_average,shared,2117446,0.7810916657182739,0.7646391084742077,11227,2807,3000,5,64,64,32
cnn_c2_f64-128_k5-3_average,shared,4273926,0.7638068383900132,0.7527503772702367,11227,2807,3000,5,64,64,32
cnn_c3_f32-64-128_k5-3-3_average,shared,1144262,0.7494288195782327,0.7458691402647414,11227,2807,3000,5,64,64,32
cnn_c2_f32-64_k5-3_average,shared,2118982,0.7470230504810398,0.7406193824273961,11227,2807,3000,5,64,64,32
